DATE,Hour,Time Slot,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,MCP (Rs/MWh) *
10-03-2021,1,00:45 - 01:00,10687,9773,7711.8,7711.8,3500.29,3501.29
10-03-2021,2,01:00 - 01:15,10587.8,10248,7856.8,7856.8,3500.95,3501.95
10-03-2021,2,01:15 - 01:30,10595.4,10806,8017.8,8017.8,3413.49,3414.49
10-03-2021,2,01:30 - 01:45,10441.3,10974.6,8057.89,8057.89,3374.9,3375.9
10-03-2021,2,01:45 - 02:00,10091.8,11119.6,8005,8005,3306.4,3307.4
10-03-2021,3,02:00 - 02:15,10614.8,11440.7,8330.07,8330.07,3374.81,3375.81
10-03-2021,3,02:15 - 02:30,10622.4,11677.7,8339.27,8339.27,3374.14,3375.14
10-03-2021,3,02:30 - 02:45,10543.1,11796.7,8162.26,8162.26,3305.51,3306.51
10-03-2021,3,02:45 - 03:00,10420.5,11877.7,8077.77,8077.77,3295,3296
10-03-2021,4,03:00 - 03:15,10428.8,12121.3,8089.21,8089.21,3294.34,3295.34
10-03-2021,4,03:15 - 03:30,10396.6,12115.3,8248.8,8248.8,3294.63,3295.63
10-03-2021,4,03:30 - 03:45,10432,12067.3,8283.9,8283.9,3294.69,3295.69
10-03-2021,4,03:45 - 04:00,10346.4,12135.3,8206.2,8206.2,3265.28,3266.28
10-03-2021,5,04:00 - 04:15,11012.6,12311.3,8389.02,8389.02,3249.58,3250.58
10-03-2021,5,04:15 - 04:30,11074.7,11812.3,8414.5,8414.5,3300.36,3301.36
10-03-2021,5,04:30 - 04:45,11298.5,11598.4,8511.01,8511.01,3309.48,3310.48
10-03-2021,5,04:45 - 05:00,11276.2,11304.4,8418.6,8418.6,3360.84,3361.84
10-03-2021,6,05:00 - 05:15,11720.7,10615.4,8769.3,8769.3,3500.26,3501.26
10-03-2021,6,05:15 - 05:30,12401.8,10228.4,8529.8,8529.8,3900.65,3901.65
10-03-2021,6,05:30 - 05:45,12945.5,10323.9,8843.6,8843.6,4072.5,4073.5
10-03-2021,6,05:45 - 06:00,13243.8,10994.8,9506.2,9506.2,4000.18,4001.18
10-03-2021,7,06:00 - 06:15,13352.6,11377.1,10577.3,10577.3,4489.49,4490.49
10-03-2021,7,06:15 - 06:30,14341.7,12163.4,11478.3,11478.3,4500.08,4501.08
10-03-2021,7,06:30 - 06:45,14854.1,12547.2,11967.1,11967.1,4552.12,4553.12
10-03-2021,7,06:45 - 07:00,14936.5,12805.3,12136.4,12136.4,4489.72,4490.72
10-03-2021,8,07:00 - 07:15,15414.7,13083,12516.9,12516.9,4800.68,4801.68
